"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","703","Pipes and fittings","Base 2015=100","97.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","70371","PVC pipes and fittings","Base 2015=100","101.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","70372","Copper pipes and fittings","Base 2015=100","95.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","704","Plaster","Base 2015=100","103.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","705","Paints, oils and varnishes","Base 2015=100","101"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","706","Glass","Base 2015=100","96"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","708","All other metal fittings","Base 2015=100","104.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201609","2016 September","709","All other products","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","-","Materials","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","601","Stone, sand and gravel","Base 2015=100","107.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","60161","Sand and gravel","Base 2015=100","120.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","60162","Stone","Base 2015=100","104.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","611","Cement","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","621","Ready mixed mortar and concrete","Base 2015=100","99.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","631","Concrete blocks and bricks","Base 2015=100","101.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","64","Other concrete products including precast","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","64261","Other concrete products (excluding precast concrete)","Base 2015=100","98.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","64262","Precast concrete","Base 2015=100","102.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","65","Structural steel and reinforcing metal","Base 2015=100","103.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","651","Structural steel","Base 2015=100","107.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","65161","Other structural steel","Base 2015=100","99.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","65162","Structural steel fabricated metal","Base 2015=100","108.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","652","Reinforcing metal","Base 2015=100","97.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","653","Other steel products","Base 2015=100","98.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","661","Rough timber (including plain sawn)","Base 2015=100","101.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","66161","Rough timber (softwood)","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","66162","Rough timber (hardwood)","Base 2015=100","100.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","671","Machined, treated engineered timber","Base 2015=100","97.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","67161","Other treated timber","Base 2015=100","95.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","67162","Wooden windows and doors","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","99.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","681","Bituminous macadam and asphalt","Base 2015=100","99.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","682","Bituminous emulsions","Base 2015=100","93.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","691","Electrical fittings","Base 2015=100","101.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","69163","Protection and communication equipment","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","70","All other materials","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","700","Plumbing materials including sanitary ware","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","701","HVAC (heating and ventilation equipment)","Base 2015=100","100.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","702","Insulating materials","Base 2015=100","100.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","703","Pipes and fittings","Base 2015=100","97.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","70371","PVC pipes and fittings","Base 2015=100","101.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","70372","Copper pipes and fittings","Base 2015=100","95.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","704","Plaster","Base 2015=100","103.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","705","Paints, oils and varnishes","Base 2015=100","101"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","706","Glass","Base 2015=100","96"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","708","All other metal fittings","Base 2015=100","104.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201610","2016 October","709","All other products","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","-","Materials","Base 2015=100","101.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","601","Stone, sand and gravel","Base 2015=100","106.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","60161","Sand and gravel","Base 2015=100","123.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","60162","Stone","Base 2015=100","103.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","611","Cement","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","621","Ready mixed mortar and concrete","Base 2015=100","101.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","631","Concrete blocks and bricks","Base 2015=100","102.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","64","Other concrete products including precast","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","64261","Other concrete products (excluding precast concrete)","Base 2015=100","98.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","64262","Precast concrete","Base 2015=100","102.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","65","Structural steel and reinforcing metal","Base 2015=100","103.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","651","Structural steel","Base 2015=100","107.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","65161","Other structural steel","Base 2015=100","99.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","65162","Structural steel fabricated metal","Base 2015=100","108.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","652","Reinforcing metal","Base 2015=100","97.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","653","Other steel products","Base 2015=100","98.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","661","Rough timber (including plain sawn)","Base 2015=100","99.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","66161","Rough timber (softwood)","Base 2015=100","100.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","66162","Rough timber (hardwood)","Base 2015=100","93"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","671","Machined, treated engineered timber","Base 2015=100","97.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","67161","Other treated timber","Base 2015=100","95.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","67162","Wooden windows and doors","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","97.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","681","Bituminous macadam and asphalt","Base 2015=100","97.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","682","Bituminous emulsions","Base 2015=100","94.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","691","Electrical fittings","Base 2015=100","101.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","69163","Protection and communication equipment","Base 2015=100","100.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","70","All other materials","Base 2015=100","100.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","700","Plumbing materials including sanitary ware","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","701","HVAC (heating and ventilation equipment)","Base 2015=100","100.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","702","Insulating materials","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","703","Pipes and fittings","Base 2015=100","97.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","70371","PVC pipes and fittings","Base 2015=100","102.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","70372","Copper pipes and fittings","Base 2015=100","96.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","704","Plaster","Base 2015=100","103.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","705","Paints, oils and varnishes","Base 2015=100","101"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","706","Glass","Base 2015=100","96"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","708","All other metal fittings","Base 2015=100","104.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201611","2016 November","709","All other products","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","-","Materials","Base 2015=100","101.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","601","Stone, sand and gravel","Base 2015=100","104.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","60161","Sand and gravel","Base 2015=100","119.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","60162","Stone","Base 2015=100","101.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","611","Cement","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","621","Ready mixed mortar and concrete","Base 2015=100","101.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","631","Concrete blocks and bricks","Base 2015=100","101.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","64","Other concrete products including precast","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","64261","Other concrete products (excluding precast concrete)","Base 2015=100","98.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","64262","Precast concrete","Base 2015=100","102.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","65","Structural steel and reinforcing metal","Base 2015=100","103.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","651","Structural steel","Base 2015=100","107.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","65161","Other structural steel","Base 2015=100","99.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","65162","Structural steel fabricated metal","Base 2015=100","108.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","652","Reinforcing metal","Base 2015=100","97.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","653","Other steel products","Base 2015=100","98.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","661","Rough timber (including plain sawn)","Base 2015=100","99.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","66161","Rough timber (softwood)","Base 2015=100","100.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","66162","Rough timber (hardwood)","Base 2015=100","93"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","671","Machined, treated engineered timber","Base 2015=100","97.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","67161","Other treated timber","Base 2015=100","95.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","67162","Wooden windows and doors","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","101.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","681","Bituminous macadam and asphalt","Base 2015=100","102"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","682","Bituminous emulsions","Base 2015=100","93.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","691","Electrical fittings","Base 2015=100","101.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","69163","Protection and communication equipment","Base 2015=100","100.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","70","All other materials","Base 2015=100","101"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","700","Plumbing materials including sanitary ware","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","701","HVAC (heating and ventilation equipment)","Base 2015=100","100.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","702","Insulating materials","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","703","Pipes and fittings","Base 2015=100","99.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","70371","PVC pipes and fittings","Base 2015=100","102.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","70372","Copper pipes and fittings","Base 2015=100","99"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","704","Plaster","Base 2015=100","103.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","705","Paints, oils and varnishes","Base 2015=100","101"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","706","Glass","Base 2015=100","96"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","708","All other metal fittings","Base 2015=100","104.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201612","2016 December","709","All other products","Base 2015=100","101.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","-","Materials","Base 2015=100","101.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","601","Stone, sand and gravel","Base 2015=100","102.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","60161","Sand and gravel","Base 2015=100","120.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","60162","Stone","Base 2015=100","99.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","611","Cement","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","621","Ready mixed mortar and concrete","Base 2015=100","101.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","631","Concrete blocks and bricks","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","64","Other concrete products including precast","Base 2015=100","100.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","64261","Other concrete products (excluding precast concrete)","Base 2015=100","98.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","64262","Precast concrete","Base 2015=100","104.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","65","Structural steel and reinforcing metal","Base 2015=100","104.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","651","Structural steel","Base 2015=100","108.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","65161","Other structural steel","Base 2015=100","99.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","65162","Structural steel fabricated metal","Base 2015=100","109.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","652","Reinforcing metal","Base 2015=100","98.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","653","Other steel products","Base 2015=100","98.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","661","Rough timber (including plain sawn)","Base 2015=100","100.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","66161","Rough timber (softwood)","Base 2015=100","101"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","66162","Rough timber (hardwood)","Base 2015=100","93"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","671","Machined, treated engineered timber","Base 2015=100","98"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","67161","Other treated timber","Base 2015=100","95.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","67162","Wooden windows and doors","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","99.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","681","Bituminous macadam and asphalt","Base 2015=100","99.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","682","Bituminous emulsions","Base 2015=100","96.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","691","Electrical fittings","Base 2015=100","102.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","69163","Protection and communication equipment","Base 2015=100","99.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","70","All other materials","Base 2015=100","101.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","700","Plumbing materials including sanitary ware","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","701","HVAC (heating and ventilation equipment)","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","702","Insulating materials","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","703","Pipes and fittings","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","70371","PVC pipes and fittings","Base 2015=100","105.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","70372","Copper pipes and fittings","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","704","Plaster","Base 2015=100","103.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","705","Paints, oils and varnishes","Base 2015=100","101.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","706","Glass","Base 2015=100","96"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","708","All other metal fittings","Base 2015=100","104.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201701","2017 January","709","All other products","Base 2015=100","101.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","-","Materials","Base 2015=100","101.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","601","Stone, sand and gravel","Base 2015=100","101.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","60161","Sand and gravel","Base 2015=100","114"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","60162","Stone","Base 2015=100","99.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","611","Cement","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","621","Ready mixed mortar and concrete","Base 2015=100","100.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","631","Concrete blocks and bricks","Base 2015=100","102"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","64","Other concrete products including precast","Base 2015=100","100.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","64261","Other concrete products (excluding precast concrete)","Base 2015=100","98.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","64262","Precast concrete","Base 2015=100","104.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","65","Structural steel and reinforcing metal","Base 2015=100","106.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","651","Structural steel","Base 2015=100","111"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","65161","Other structural steel","Base 2015=100","99.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","65162","Structural steel fabricated metal","Base 2015=100","112.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","652","Reinforcing metal","Base 2015=100","100.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","653","Other steel products","Base 2015=100","98.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","661","Rough timber (including plain sawn)","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","66161","Rough timber (softwood)","Base 2015=100","101"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","66162","Rough timber (hardwood)","Base 2015=100","100.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","671","Machined, treated engineered timber","Base 2015=100","98"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","67161","Other treated timber","Base 2015=100","95.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","67162","Wooden windows and doors","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","97.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","681","Bituminous macadam and asphalt","Base 2015=100","97.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","682","Bituminous emulsions","Base 2015=100","96.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","691","Electrical fittings","Base 2015=100","102.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","69163","Protection and communication equipment","Base 2015=100","99.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","70","All other materials","Base 2015=100","101.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","700","Plumbing materials including sanitary ware","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","701","HVAC (heating and ventilation equipment)","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","702","Insulating materials","Base 2015=100","101.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","703","Pipes and fittings","Base 2015=100","101.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201702","2017 February","70371","PVC pipes and fittings","Base 2015=100","105.5"
